"Country";"Rating";"Height";"Weight";"Age";"Weak_foot";"Skill_Moves";"Ball_Control";"Dribbling";"Marking";"Sliding_Tackle";"Standing_Tackle";"Aggression";"Reactions";"Attacking_Position";"Interceptions";"Vision";"Composure";"Crossing";"Short_Pass";"Long_Pass";"Acceleration";"Speed";"Stamina";"Strength";"Balance";"Agility";"Jumping";"Heading";"Shot_Power";"Finishing";"Long_Shots";"Curve";"Freekick_Accuracy";"Penalties";"Volleys";"GK_Positioning";"GK_Diving";"GK_Kicking";"GK_Handling";"GK_Reflexes"
"Spain";87;181.166666666667;76.25;29.0833333333333;3.25;3.08333333333333;82;72.75;59.5833333333333;63;67.4166666666667;68.1666666666667;84.5;69.5833333333333;69.25;78.5;81.6666666666667;68.5833333333333;81.0833333333333;76.75;70.4166666666667;70.8333333333333;75.3333333333333;70.5;68.9166666666667;73.4166666666667;69.8333333333333;66;68.4166666666667;65.0833333333333;63.8333333333333;69.9166666666667;63;66.3333333333333;61.4166666666667;16.75;16.25;16.3333333333333;16.9166666666667;17.3333333333333
"Belgium";86.8181818181818;183.909090909091;81.3636363636364;28.2727272727273;3.45454545454545;3;76.8181818181818;74.2727272727273;50.9090909090909;54.3636363636364;58.4545454545455;69.0909090909091;85;68.8181818181818;55.8181818181818;73.2727272727273;80.3636363636364;68.1818181818182;77;73.4545454545455;74.5454545454545;75.6363636363636;75.8181818181818;74.7272727272727;66.7272727272727;75.1818181818182;70.9090909090909;61.7272727272727;79.2727272727273;65.5454545454545;69.3636363636364;67.6363636363636;65.6363636363636;67.6363636363636;61.2727272727273;17.3636363636364;17.7272727272727;15.1818181818182;18.2727272727273;16.8181818181818
"Brazil";86.3636363636364;180.727272727273;77;28.7272727272727;3.54545454545455;3.09090909090909;78.2727272727273;74.5454545454545;62;65.8181818181818;68.2727272727273;71.7272727272727;84.4545454545455;66.3636363636364;66.8181818181818;74.4545454545455;82.6363636363636;66.5454545454545;78.0909090909091;73.7272727272727;74.4545454545455;74;78.4545454545455;76.3636363636364;70.5454545454545;73.4545454545455;75.8181818181818;66.3636363636364;73.8181818181818;59.3636363636364;65.6363636363636;65.3636363636364;64.1818181818182;61.3636363636364;61.6363636363636;17.8181818181818;17.3636363636364;16.3636363636364;17.1818181818182;16.1818181818182
"Germany";86.2857142857143;186.071428571429;82;27.0714285714286;3.78571428571429;2.71428571428571;75.3571428571429;69;49.9285714285714;54.7142857142857;56.2857142857143;59.6428571428571;84.7142857142857;63.4285714285714;61;76.4285714285714;80.0714285714286;65.1428571428571;78.0714285714286;73.1428571428571;69;72.7142857142857;70.0714285714286;74.9285714285714;63.4285714285714;69.1428571428571;65.6428571428571;62.1428571428571;71.5;58.4285714285714;64.7857142857143;64.4285714285714;56.0714285714286;58.5714285714286;61.7142857142857;20.7857142857143;21.1428571428571;20.4285714285714;21.8571428571429;21.7857142857143
"Argentina";85.6428571428571;180.285714285714;77.0714285714286;29.1428571428571;3.35714285714286;3.14285714285714;78.1428571428571;72.4285714285714;42.3571428571429;46.0714285714286;48.7857142857143;63.9285714285714;83.1428571428571;68.5714285714286;50.2142857142857;73;80.6428571428571;64.1428571428571;75.8571428571429;68.7857142857143;71.3571428571429;70.4285714285714;72.9285714285714;71.8571428571429;70.7857142857143;74.8571428571429;70.9285714285714;66.3571428571429;75;67.6428571428571;67.2857142857143;67.7142857142857;62.8571428571429;65.2857142857143;66.5714285714286;14.2857142857143;15.1428571428571;13.3571428571429;13.9285714285714;15.6428571428571
"France";85.5384615384615;179.307692307692;75.9230769230769;27.3846153846154;3.15384615384615;3.38461538461538;80.2307692307692;75.9230769230769;43.6923076923077;48.0769230769231;50.5384615384615;68.4615384615385;82.7692307692308;71.0769230769231;53;73.3076923076923;81.4615384615385;67.9230769230769;79.7692307692308;71.7692307692308;79.3846153846154;79.4615384615385;76.3846153846154;74.0769230769231;74.0769230769231;77.7692307692308;72.4615384615385;63.4615384615385;73.7692307692308;67.2307692307692;69.0769230769231;68.7692307692308;63.6153846153846;66.4615384615385;68.5384615384615;14.6153846153846;18;13;14.9230769230769;16.6153846153846
"Portugal";83.8461538461538;180.615384615385;74.2307692307692;28.4615384615385;3.61538461538462;3.53846153846154;82;81.4615384615385;59.3846153846154;56.8461538461538;64.0769230769231;73.6153846153846;81.2307692307692;75;65;78.4615384615385;83.6923076923077;73.3846153846154;82;77.1538461538462;76.6923076923077;75;82.5384615384615;70.3076923076923;73.0769230769231;76.9230769230769;70;65.0769230769231;76.3846153846154;68.4615384615385;74.3846153846154;77;66.6153846153846;69.2307692307692;68.3076923076923;16.0769230769231;16.3846153846154;16.3076923076923;16.1538461538462;17.4615384615385
"Croatia";82.9090909090909;183.727272727273;77.8181818181818;28.8181818181818;3.54545454545455;3;75.8181818181818;72.5454545454545;53;59.6363636363636;61.9090909090909;69.8181818181818;78.2727272727273;64.4545454545455;61.5454545454545;72.6363636363636;75.8181818181818;68.1818181818182;74.3636363636364;69.3636363636364;69.9090909090909;70.4545454545455;77.0909090909091;72.9090909090909;65.3636363636364;69.3636363636364;73.3636363636364;63.4545454545455;71.2727272727273;60.2727272727273;63.5454545454545;65.2727272727273;63.4545454545455;63.4545454545455;62.2727272727273;16.1818181818182;17.7272727272727;16.6363636363636;16;16.1818181818182
"England";82.0526315789474;182.157894736842;76.8947368421053;26.3157894736842;3.10526315789474;2.89473684210526;73.2631578947368;71.1052631578947;55.7368421052632;56.6842105263158;59.1578947368421;71.6315789473684;79.6842105263158;67.4210526315789;58.1052631578947;69.9473684210526;76.2105263157895;63.9473684210526;72.6842105263158;65.6315789473684;76.5263157894737;76.9473684210526;77.7894736842105;73.7894736842105;68.8421052631579;73.8947368421053;73.1578947368421;62.6315789473684;69.9473684210526;63.6315789473684;64.6842105263158;62.0526315789474;54.3157894736842;62.4210526315789;58.8947368421053;18.6842105263158;17.7894736842105;17.3684210526316;18.7894736842105;18.4736842105263
"Colombia";81;179.470588235294;76.8823529411765;28.2352941176471;3.05882352941176;3.23529411764706;76.2941176470588;76.2352941176471;45.5882352941176;51.7647058823529;54.0588235294118;68.7647058823529;76.9411764705882;70.5882352941177;51.6470588235294;65.9411764705882;77.3529411764706;63.3529411764706;73.3529411764706;63.5882352941176;78.2941176470588;79.7647058823529;75.7647058823529;74.6470588235294;74.4117647058823;79.2941176470588;76.1176470588235;68.9411764705882;75.4705882352941;66.5294117647059;62.6470588235294;60.2352941176471;52.2352941176471;64.2352941176471;63.2941176470588;18.8235294117647;22.8823529411765;20.7058823529412;20.3529411764706;21.4705882352941
"Uruguay";80.9411764705882;181.882352941176;76.2941176470588;28.1764705882353;3.17647058823529;2.82352941176471;72.8823529411765;69.6470588235294;53.1176470588235;56.5294117647059;58.7058823529412;74.0588235294118;79.0588235294118;66;57.9411764705882;66.5882352941177;76.1764705882353;63.2352941176471;74.4117647058823;66.8235294117647;72.3529411764706;72.5882352941177;77;72.7058823529412;67.2352941176471;71.7058823529412;74.2941176470588;64.1764705882353;72.3529411764706;60.6470588235294;62.5294117647059;63.4117647058824;57.3529411764706;61.8235294117647;60.6470588235294;14.6470588235294;15.5882352941176;15;14.4117647058824;16.0588235294118
"Poland";80.3333333333333;185.666666666667;80.8333333333333;28;3.08333333333333;2;61.4166666666667;54.75;43.6666666666667;46.3333333333333;49.9166666666667;68.25;76.6666666666667;52.4166666666667;51;60.25;72.4166666666667;48.3333333333333;61.9166666666667;57.3333333333333;64.5;65.8333333333333;65.5833333333333;72.8333333333333;60.9166666666667;61.3333333333333;72.8333333333333;58;60.25;48.9166666666667;52.1666666666667;50.0833333333333;44.0833333333333;50.6666666666667;46.75;27.6666666666667;30.0833333333333;24.0833333333333;28.5;28.0833333333333
"Denmark";79.7272727272727;183.363636363636;78.8181818181818;27;3.63636363636364;2.63636363636364;72.0909090909091;65.1818181818182;57.0909090909091;56.1818181818182;62.9090909090909;64.9090909090909;78.4545454545455;60;62.4545454545455;71.2727272727273;74;63.7272727272727;74;71.8181818181818;70.7272727272727;71.3636363636364;75.2727272727273;73;64.8181818181818;66.1818181818182;65.9090909090909;64.9090909090909;71.7272727272727;59.3636363636364;57.9090909090909;60.9090909090909;63.3636363636364;61.9090909090909;53.3636363636364;17.6363636363636;16.7272727272727;18.0909090909091;16.4545454545455;17.6363636363636
"Russia";79.6666666666667;182.083333333333;76.4166666666667;29;3.08333333333333;2.5;66.5833333333333;64.1666666666667;54.5833333333333;53.0833333333333;55.1666666666667;65.6666666666667;75.8333333333333;62.5833333333333;54.3333333333333;69.5833333333333;71.25;60.8333333333333;70.0833333333333;63.4166666666667;73.5833333333333;73.3333333333333;71.4166666666667;68.8333333333333;65;69.3333333333333;69.8333333333333;56.4166666666667;65;58;58.75;60.0833333333333;54.5;52;54.3333333333333;23.1666666666667;21.75;22.9166666666667;22.5;23.4166666666667
"Serbia";79.5294117647059;186.235294117647;80.8823529411765;27.5294117647059;2.82352941176471;2.58823529411765;70.3529411764706;65.7647058823529;62.2941176470588;63.0588235294118;65.8823529411765;70.7647058823529;76.7058823529412;59.7647058823529;65.1176470588235;65.7647058823529;74.2352941176471;62.9411764705882;72.4705882352941;71.0588235294118;65.4117647058823;67.3529411764706;74.0588235294118;76.1764705882353;61.1176470588235;62.8823529411765;69.3529411764706;66.6470588235294;70.5294117647059;52.2941176470588;62.2352941176471;61;59.6470588235294;54.9411764705882;52.7058823529412;14.5294117647059;14;14.1764705882353;14.8235294117647;14.3529411764706
"Senegal";79.3636363636364;184.090909090909;79.9090909090909;27.2727272727273;3.18181818181818;2.81818181818182;69.9090909090909;67.5454545454545;48.3636363636364;53.9090909090909;56.7272727272727;68.7272727272727;74.4545454545455;60.1818181818182;53.2727272727273;63;74.0909090909091;56.1818181818182;68.7272727272727;60.6363636363636;75.3636363636364;77.9090909090909;72.7272727272727;80;62.7272727272727;69.0909090909091;76.0909090909091;67.4545454545455;72.0909090909091;58.5454545454545;58;51;49.1818181818182;60.1818181818182;54.8181818181818;14.9090909090909;16.2727272727273;16.6363636363636;14.8181818181818;16.7272727272727
"Switzerland";79.1818181818182;184.181818181818;79.5454545454545;28.0909090909091;3.27272727272727;2.18181818181818;62.2727272727273;57.2727272727273;54.3636363636364;54.9090909090909;57.4545454545455;64.6363636363636;76.4545454545455;53.6363636363636;59.6363636363636;61.5454545454545;70.3636363636364;57.8181818181818;66.4545454545455;63.6363636363636;62.2727272727273;64.0909090909091;68.0909090909091;75.1818181818182;62.7272727272727;63.7272727272727;67.5454545454545;52.4545454545455;65;48.6363636363636;54.7272727272727;54.2727272727273;52.6363636363636;53.0909090909091;48.2727272727273;28.3636363636364;28.9090909090909;26.4545454545455;28.2727272727273;29.4545454545455
"Mexico";78.9285714285714;176.857142857143;72;29;3.5;3.07142857142857;70.6428571428571;68.2142857142857;39.7857142857143;42.2857142857143;45;57.4285714285714;76.2142857142857;65;48.7142857142857;70.0714285714286;74.7142857142857;64.5714285714286;70.4285714285714;65.2142857142857;74.5;73.2142857142857;70.0714285714286;60.7857142857143;74.4285714285714;76.7857142857143;72.6428571428571;56.7142857142857;67.2857142857143;61.5714285714286;62.5714285714286;63.8571428571429;58.8571428571429;63.0714285714286;62.7857142857143;20.7142857142857;19.9285714285714;19.0714285714286;19.9285714285714;20.5
"Morocco";78.9090909090909;181.727272727273;75.1818181818182;27.9090909090909;2.90909090909091;3.27272727272727;72.3636363636364;72.9090909090909;49.8181818181818;48.8181818181818;56.7272727272727;62.3636363636364;75.1818181818182;61.5454545454545;53.9090909090909;67.1818181818182;70.9090909090909;64.1818181818182;72.6363636363636;69.2727272727273;72.5454545454545;71.7272727272727;70.2727272727273;64.1818181818182;65.2727272727273;74.1818181818182;61.2727272727273;53.0909090909091;67.6363636363636;58.6363636363636;59.9090909090909;62.8181818181818;55.2727272727273;59.0909090909091;59;15.9090909090909;16.2727272727273;15.9090909090909;18.2727272727273;16.3636363636364
"Sweden";78.0666666666667;187;81.6666666666667;29.5333333333333;3.2;2.66666666666667;67.8;62.9333333333333;46.3333333333333;46.3333333333333;52;69.4;73.8;58.4;52.9333333333333;64.8;70.7333333333333;55.6666666666667;67.4666666666667;62.6666666666667;61.8;64.6;67.5333333333333;77.2;53.7333333333333;62.4;63.2;60.4;67.4666666666667;54.6666666666667;60.8;59.8666666666667;54.6;58.2;53.5333333333333;18.4666666666667;19.4;19.7333333333333;18.2666666666667;19.2666666666667
"Japan";77.2727272727273;176.636363636364;71.1818181818182;29.4545454545455;3.72727272727273;2.90909090909091;72.7272727272727;71.3636363636364;43.5454545454545;43.8181818181818;46.6363636363636;54.7272727272727;76.1818181818182;69.2727272727273;50;67.7272727272727;72;65.8181818181818;70.9090909090909;64.9090909090909;75.7272727272727;71.4545454545455;75.4545454545455;61.8181818181818;75.7272727272727;80.5454545454545;73.3636363636364;57.9090909090909;67.3636363636364;59.0909090909091;61.7272727272727;65.8181818181818;56.9090909090909;57.1818181818182;59.0909090909091;15.9090909090909;15.1818181818182;16.3636363636364;15;16
"Nigeria";75.5454545454545;179.454545454545;73.4545454545455;23.4545454545455;3.27272727272727;2.90909090909091;69.8181818181818;70.8181818181818;38.2727272727273;45.4545454545455;47.7272727272727;61.2727272727273;72.1818181818182;64;48.5454545454545;64.2727272727273;66.6363636363636;56.8181818181818;68.6363636363636;60.4545454545455;78.9090909090909;77.4545454545455;75.7272727272727;67.1818181818182;73.0909090909091;76.3636363636364;71;56.7272727272727;68.6363636363636;60.3636363636364;60.2727272727273;55.2727272727273;48.4545454545455;57.0909090909091;55.3636363636364;17.0909090909091;16.1818181818182;16.0909090909091;15.7272727272727;17.8181818181818
"Egypt";75.0909090909091;183.545454545455;78;26.8181818181818;3.36363636363636;2.72727272727273;70;66.6363636363636;44.6363636363636;46.2727272727273;50.4545454545455;63.5454545454545;70.6363636363636;59.8181818181818;49.8181818181818;61.6363636363636;70.5454545454545;55;66.7272727272727;59.1818181818182;66.8181818181818;69.5454545454545;74.0909090909091;74.2727272727273;62.5454545454545;66.7272727272727;65.0909090909091;59.0909090909091;61.2727272727273;54.7272727272727;56.8181818181818;60.5454545454545;48.6363636363636;55;49.1818181818182;17.8181818181818;16.3636363636364;16.5454545454545;17.9090909090909;13.8181818181818
"Costa Rica";75;182.333333333333;78.0833333333333;28.5;2.75;2.41666666666667;64.1666666666667;59.5833333333333;61.6666666666667;61.5;62.0833333333333;69.5833333333333;71.4166666666667;53;63.4166666666667;58.0833333333333;66.5833333333333;52.25;64.5;64;67.3333333333333;68.1666666666667;67.4166666666667;74.4166666666667;64.3333333333333;64.3333333333333;73.8333333333333;61.5833333333333;61.4166666666667;44.8333333333333;49.6666666666667;51.25;46.0833333333333;51.8333333333333;45.0833333333333;16.25;17.3333333333333;14.9166666666667;16.9166666666667;17
"Korea Republic";74.3157894736842;182.526315789474;74.3157894736842;27.2105263157895;3.47368421052632;2.47368421052632;65.3157894736842;60.7894736842105;48.5263157894737;47.8947368421053;50.4736842105263;62.8421052631579;72.1052631578947;61.3157894736842;53.6842105263158;67.6315789473684;64.2105263157895;54.9473684210526;65.2631578947368;59.1578947368421;69.7368421052632;69.8947368421053;72.0526315789474;69.6842105263158;67.5263157894737;67.6315789473684;70.7368421052632;61.1052631578947;63.1578947368421;55.0526315789474;59.3157894736842;55.8421052631579;52;53.4736842105263;52.2105263157895;17.4736842105263;17.1052631578947;17.0526315789474;17.0526315789474;17.4210526315789
"Peru";74.25;179.083333333333;75.1666666666667;28.4166666666667;3.66666666666667;2.83333333333333;67.8333333333333;67.3333333333333;38;40.25;44.3333333333333;59.4166666666667;71.5833333333333;61.6666666666667;45.5;62.4166666666667;65.0833333333333;56;65.75;60;72.25;70.6666666666667;62.75;65.25;69.9166666666667;72.1666666666667;72.3333333333333;63.1666666666667;65.75;59.3333333333333;59.8333333333333;61.0833333333333;55.1666666666667;60.3333333333333;60.3333333333333;17;16.8333333333333;15.4166666666667;16.0833333333333;16.25
"Saudi Arabia";74;177.333333333333;70.4166666666667;28.8333333333333;3.41666666666667;2.75;61.5;58.9166666666667;53.6666666666667;53.9166666666667;54.3333333333333;66.0833333333333;70.25;55.1666666666667;52.8333333333333;58;61.75;52.25;65.1666666666667;56.6666666666667;74.9166666666667;73.3333333333333;73.6666666666667;72.4166666666667;69.3333333333333;71.6666666666667;70.9166666666667;58.6666666666667;59.1666666666667;52.4166666666667;53.5833333333333;54;49.0833333333333;57;50.75;17;16.5833333333333;13;16.5833333333333;14.9166666666667
"Australia";73.8461538461538;181.538461538462;77.1538461538462;28;3.30769230769231;2.38461538461538;62.3846153846154;59.4615384615385;53.3076923076923;53.4615384615385;56.2307692307692;67.2307692307692;69.7692307692308;54;54.4615384615385;65.7692307692308;69.0769230769231;56.3076923076923;63.8461538461538;60.1538461538462;68.5384615384615;68.3076923076923;67.5384615384615;71.9230769230769;67.6153846153846;66.3076923076923;72.4615384615385;55.1538461538462;62.3846153846154;51.0769230769231;54.5384615384615;55.2307692307692;44.4615384615385;55.3846153846154;47.2307692307692;22;21.7692307692308;22.2307692307692;19.7692307692308;21.2307692307692
"Iceland";73.25;185.25;79.9166666666667;29.0833333333333;3.41666666666667;2.41666666666667;65.25;60.1666666666667;44.5833333333333;46.3333333333333;52.25;65.3333333333333;72.1666666666667;62.5833333333333;51.4166666666667;61.6666666666667;72.0833333333333;55;65.6666666666667;59;63.5;66.75;71.6666666666667;75.8333333333333;67.4166666666667;64.0833333333333;71.3333333333333;62.5833333333333;69.9166666666667;58.4166666666667;63.1666666666667;56.4166666666667;52.3333333333333;62.9166666666667;55.9166666666667;16.1666666666667;15.25;15.0833333333333;13.8333333333333;16.3333333333333
"Iran";72.9090909090909;180.545454545455;74.4545454545455;27.0909090909091;3.36363636363636;3.18181818181818;73.7272727272727;73.9090909090909;33.3636363636364;36.9090909090909;38.6363636363636;62.3636363636364;69.5454545454545;69.4545454545455;43.8181818181818;68.2727272727273;69.4545454545455;66.3636363636364;67.7272727272727;59.5454545454545;76.6363636363636;76.6363636363636;68.4545454545455;66.4545454545455;71;75.6363636363636;64.2727272727273;61.3636363636364;72.0909090909091;67.0909090909091;67.0909090909091;66.7272727272727;61.5454545454545;63.3636363636364;65.4545454545455;11.1818181818182;9.27272727272727;12.0909090909091;9.36363636363636;10.6363636363636
"Tunisia";72.8571428571429;183.214285714286;78.7857142857143;27.5;3;2.42857142857143;64.0714285714286;61.3571428571429;49.6428571428571;50.8571428571429;54;65.2857142857143;67.2142857142857;57.8571428571429;53;61.1428571428571;66.1428571428571;58.7857142857143;65.2142857142857;59.6428571428571;64.5714285714286;64.7857142857143;64.7857142857143;72.9285714285714;59.0714285714286;64.4285714285714;70;60.6428571428571;67.4285714285714;58.7857142857143;60.2142857142857;54.7142857142857;51;53.8571428571429;54.0714285714286;16.6428571428571;15.0714285714286;14.1428571428571;14.9285714285714;16.4285714285714
"Panama";69.1;181.5;79.8;28.1;2.8;2.4;59.9;54.3;63.5;61.9;65.7;76.6;66.2;49.4;63.2;52;64.7;49.3;61.3;59.7;65.1;65.6;69.2;75.3;59.7;62.6;66.1;62;60.9;41.8;50;45.5;42.3;51.7;41.7;9.3;9;12.1;11.4;11
